# rule	path	max_count
RuntimeInitialize	Assets/_Game/Scripts/Audio/AudioManager.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Audio/SfxEventBridge.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Cave/Death/DeathSystemBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Cave/Ecosystem/CaveConflictFeedbackBridge.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Cave/Runtime/CaveRuntimeBridge.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Cave/Runtime/CaveWanderingMerchant.cs	1
RuntimeInitialize	Assets/_Game/Scripts/City/Services/CityServiceRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Composition/GameRuntimeCompositionRoot.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Combat/StatusEffect/PlayerStatusReceiver.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Combat/Telemetry/CombatTelemetryService.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Craft/CraftingStationRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Crafting/RecipeFirstKillUnlockHook.cs	2
RuntimeInitialize	Assets/_Game/Scripts/DebugTools/CollisionDebugOverlayBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Farm/Animals/FarmAnimalRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Farm/Forage/FarmForageRuntimeService.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Farm/Lots/FarmLotRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Farm/Resources/FarmResourceRefreshRuntime.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Farm/Runtime/FarmDailyGoalRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Farm/Shipping/ShippingBinRuntimeService.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Fonte/FonteRuntimeService.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Inventory/ItemUseManager.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Items/Runtime/ConsumableItemRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Items/Runtime/MagicItemRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Magic/PlayerSpellbookRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/Narrative/IntroSequenceController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Narrative/NarrativeRuntimeBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/NPC/NpcDialogueExpansionBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/NPC/Friendship/FriendshipRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/NPC/Gifting/GiftGivingRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/NPC/Schedule/NpcScheduleRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/NPC/Services/NpcServiceRuntime.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/InferredClassRuntime.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/PlayerVitalsApplier.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/Conditions/PlayerConditionService.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/Death/AnyaFountainRespawnFlow.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/Death/PlayerDeathController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/Movement/PlayerMovementActionRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Player/Movement/PlayerSprintController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Quests/Runtime/QuestRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/Skills/Runtime/Effects/ActiveSkillExecutionController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/UI/InventoryPanelController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/UI/Character/CharacterEquipmentPanelController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/UI/Death/DeathScreenCanvasController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/UI/HUD/GameplayHudBootstrap.cs	2
RuntimeInitialize	Assets/_Game/Scripts/UI/Skills/SkillTreeGameplayPanelController.cs	1
RuntimeInitialize	Assets/_Game/Scripts/World/ItemDropSpawner.cs	1
RuntimeInitialize	Assets/_Game/Scripts/World/Events/WorldEventRuntimeBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/World/Scenes/SceneFadeOverlayBootstrap.cs	1
RuntimeInitialize	Assets/_Game/Scripts/World/Scenes/SceneTransitionRouter.cs	1
RuntimeInitialize	Assets/_Game/Scripts/World/Weather/WorldWeatherService.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Audio/AudioManager.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Audio/SfxEventBridge.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Cave/Ecosystem/CaveEcosystemConflictPlan.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Cave/Runtime/CaveRunManager.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Combat/CombatStateTracker.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Combat/Magic/PlayerBarrierState.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Combat/StatusEffect/PlayerStatusReceiver.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Combat/Telemetry/CombatTelemetryService.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Composition/GameRuntimeCompositionRoot.cs	1
SingletonDeclaration	Assets/_Game/Scripts/Core/Bootstrap/GameBootstrap.cs	1
